neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,expensive,number_of_reviews,reviews_per_month,calculated_host_listings_count,price
0,1,0,0,0,1,0,0,1,9,0.21,6,149.0
1,0,0,0,0,0,1,0,1,45,0.38,2,225.0
1,0,0,0,0,1,0,0,1,0,0.0,1,150.0
0,1,0,0,0,0,1,0,0,270,4.64,1,89.0
1,0,0,0,0,0,1,0,0,9,0.1,1,80.0
1,0,0,0,0,0,1,0,1,74,0.59,1,200.0
0,1,0,0,0,1,0,0,0,49,0.4,1,60.0
1,0,0,0,0,1,0,0,0,430,3.47,1,79.0
1,0,0,0,0,1,0,0,0,118,0.99,1,79.0
1,0,0,0,0,0,1,0,1,160,1.33,4,150.0
1,0,0,0,0,0,1,0,1,53,0.43,1,135.0
1,0,0,0,0,1,0,0,0,188,1.5,1,85.0
0,1,0,0,0,1,0,0,0,167,1.34,3,89.0
1,0,0,0,0,1,0,0,0,113,0.91,1,85.0
1,0,0,0,0,0,1,0,1,27,0.22,1,120.0
0,1,0,0,0,0,1,0,1,148,1.2,1,140.0
0,1,0,0,0,0,1,0,1,198,1.72,1,215.0
1,0,0,0,0,1,0,0,1,260,2.12,1,140.0
0,1,0,0,0,0,1,0,0,53,4.44,1,99.0
1,0,0,0,0,0,1,0,1,0,0.0,2,190.0
0,1,0,0,0,0,1,0,1,9,0.07,1,299.0
0,1,0,0,0,1,0,0,1,130,1.09,6,130.0
0,1,0,0,0,1,0,0,0,39,0.37,6,80.0
0,1,0,0,0,1,0,0,1,71,0.61,6,110.0
0,1,0,0,0,0,1,0,1,88,0.73,2,120.0
0,1,0,0,0,1,0,0,0,19,1.37,2,60.0
1,0,0,0,0,1,0,0,0,0,0.0,1,80.0
1,0,0,0,0,0,1,0,1,58,0.49,1,150.0
1,0,0,0,0,1,0,0,0,108,1.11,3,44.0
1,0,0,0,0,0,1,0,1,29,0.24,1,180.0
1,0,0,0,0,1,0,0,0,242,2.04,3,50.0
1,0,0,0,0,1,0,0,0,88,1.42,1,52.0
0,1,0,0,0,1,0,0,0,197,1.65,3,55.0
1,0,0,0,0,1,0,0,0,273,2.37,3,50.0
0,1,0,0,0,1,0,0,0,74,0.66,2,70.0
0,1,0,0,0,1,0,0,0,168,1.41,3,89.0
0,1,0,0,0,1,0,0,0,0,0.0,1,35.0
0,1,0,0,0,0,1,0,0,231,1.96,2,85.0
0,1,0,0,0,1,0,0,1,0,0.0,1,150.0
1,0,0,0,0,0,0,1,0,214,1.81,4,40.0
1,0,0,0,0,1,0,0,0,245,2.08,2,68.0
0,1,0,0,0,0,1,0,1,15,0.39,1,120.0
0,1,0,0,0,1,0,0,1,25,0.23,1,120.0
1,0,0,0,0,1,0,0,1,81,0.69,1,135.0
1,0,0,0,0,0,1,0,1,97,0.84,1,150.0
0,1,0,0,0,0,1,0,1,11,0.49,1,150.0
0,0,0,1,0,1,0,0,1,248,2.25,1,130.0
0,1,0,0,0,0,1,0,1,61,0.52,1,110.0
0,1,0,0,0,0,1,0,1,11,0.1,1,115.0
0,1,0,0,0,1,0,0,0,135,1.16,2,80.0
0,1,0,0,0,1,0,0,0,112,1.01,3,80.0
1,0,0,0,0,0,1,0,1,73,0.63,1,151.0
0,1,0,0,0,0,1,0,1,82,0.7,1,228.0
0,1,0,0,0,0,1,0,1,328,2.82,1,144.0
1,0,0,0,0,0,1,0,1,19,0.22,1,200.0
0,1,0,0,0,0,1,0,1,105,0.9,1,150.0
1,0,0,0,0,1,0,0,1,19,0.17,1,110.0
1,0,0,0,0,1,0,0,0,289,2.49,2,69.0
0,1,0,0,0,1,0,0,0,138,1.19,3,49.0
1,0,0,0,0,0,1,0,1,21,0.3,1,180.0
0,1,0,0,0,1,0,0,0,42,0.38,1,80.0
1,0,0,0,0,0,1,0,1,5,0.12,1,375.0
1,0,0,0,0,0,1,0,1,66,0.57,2,250.0
0,1,0,0,0,0,1,0,1,143,1.33,2,200.0
0,1,0,0,0,1,0,0,0,27,0.23,2,55.0
1,0,0,0,0,1,0,0,0,191,1.65,1,52.0
0,1,0,0,0,0,1,0,1,4,0.16,1,225.0
1,0,0,0,0,1,0,0,0,338,4.72,2,80.0
0,1,0,0,0,0,1,0,1,148,1.4,1,275.0
1,0,0,0,0,1,0,0,0,106,1.26,2,99.0
1,0,0,0,0,0,1,0,1,190,1.64,1,225.0
1,0,0,0,0,0,1,0,1,49,0.43,1,230.0
1,0,0,0,0,1,0,0,0,23,0.43,1,51.0
1,0,0,0,0,1,0,0,0,49,1.6,2,65.0
0,1,0,0,0,1,0,0,0,105,0.92,1,105.0
1,0,0,0,0,0,1,0,1,21,0.2,1,190.0
1,0,0,0,0,1,0,0,1,142,1.5,1,200.0
0,0,0,1,0,1,0,0,0,25,0.22,1,70.0
0,1,0,0,0,1,0,0,0,143,1.28,1,95.0
1,0,0,0,0,1,0,0,1,167,1.65,1,150.0
0,1,0,0,0,1,0,0,1,61,0.54,4,145.0
1,0,0,0,0,0,1,0,1,54,0.49,1,110.0
