neighborhood_manhattan,neighborhood_brooklyn,neighborhood_bronx,neighborhood_queens,neighborhood_staten_island,room_type_private,room_type_entire,room_type_shared,number_of_reviews,reviews_per_month,calculated_host_listings_count
1,0,0,0,0,1,0,0,111,3.51,1
1,0,0,0,0,0,1,0,4,0.18,14
1,0,0,0,0,0,1,0,2,1.02,327
1,0,0,0,0,0,1,0,4,2.35,1
0,1,0,0,0,0,1,0,20,1.42,1
0,1,0,0,0,1,0,0,28,0.56,1
0,0,0,1,0,0,1,0,69,3.68,1
1,0,0,0,0,0,1,0,4,0.11,1
0,1,0,0,0,1,0,0,1,0.33,2
1,0,0,0,0,1,0,0,212,3.05,1
1,0,0,0,0,1,0,0,20,2.25,1
0,1,0,0,0,0,1,0,53,0.68,1
0,0,0,1,0,1,0,0,0,0.0,1
1,0,0,0,0,1,0,0,6,0.55,2
1,0,0,0,0,0,1,0,8,0.2,1
0,0,0,1,0,1,0,0,1,0.05,1
1,0,0,0,0,0,1,0,7,0.11,1
1,0,0,0,0,1,0,0,1,1.0,13
1,0,0,0,0,1,0,0,60,4.35,1
0,1,0,0,0,1,0,0,0,0.0,2
1,0,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,1,0,0,5,0.14,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,1,0,0,13,0.15,1
0,1,0,0,0,0,1,0,1,0.13,14
0,1,0,0,0,0,1,0,11,0.39,1
1,0,0,0,0,0,1,0,28,0.37,1
0,0,0,1,0,1,0,0,8,8.0,1
0,1,0,0,0,0,1,0,4,0.31,1
0,0,0,0,1,0,1,0,1,1.0,1
0,1,0,0,0,0,1,0,11,0.24,1
1,0,0,0,0,1,0,0,5,0.4,1
0,1,0,0,0,0,1,0,4,0.16,1
0,0,1,0,0,1,0,0,3,0.14,2
0,1,0,0,0,1,0,0,0,0.0,1
0,0,0,1,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,6,0.18,2
0,1,0,0,0,1,0,0,2,2.0,2
0,1,0,0,0,1,0,0,9,0.69,1
0,1,0,0,0,1,0,0,2,0.04,1
0,1,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,1,0,0,0,0.0,1
0,1,0,0,0,0,1,0,33,0.85,1
0,1,0,0,0,0,1,0,14,2.05,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,0,0.0,87
1,0,0,0,0,0,1,0,12,0.16,8
1,0,0,0,0,1,0,0,1,0.03,1
1,0,0,0,0,0,1,0,0,0.0,327
0,1,0,0,0,0,1,0,1,0.07,1
0,1,0,0,0,1,0,0,0,0.0,2
0,1,0,0,0,0,1,0,14,0.98,1
1,0,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,0,1,0,0,0.0,1
0,1,0,0,0,1,0,0,4,0.35,1
1,0,0,0,0,0,1,0,23,0.4,1
1,0,0,0,0,1,0,0,11,1.76,7
0,1,0,0,0,1,0,0,0,0.0,3
1,0,0,0,0,0,1,0,48,2.58,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,1,0,0,8,0.21,2
1,0,0,0,0,0,1,0,7,0.19,1
0,1,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,1,0.61,1
1,0,0,0,0,0,1,0,4,0.53,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,1,0,0,6,0.12,1
0,1,0,0,0,0,0,1,7,0.39,5
0,1,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,1,0,0,0.0,1
1,0,0,0,0,0,1,0,2,0.59,1
0,1,0,0,0,1,0,0,1,0.13,1
0,1,0,0,0,0,1,0,13,0.29,1
0,1,0,0,0,1,0,0,0,0.0,1
1,0,0,0,0,0,0,1,4,2.22,5
