iteration,model_name,fitness_val
1000,rhc,93.0
1000,sa,81.0
1000,ga,93.0
1000,mimic,107.0
2000,rhc,94.0
2000,sa,106.0
2000,ga,79.0
2000,mimic,108.0
5000,rhc,94.0
5000,sa,109.0
5000,ga,97.0
5000,mimic,113.0
10000,rhc,94.0
10000,sa,113.0
10000,ga,107.0
10000,mimic,113.0
25000,rhc,94.0
25000,sa,113.0
25000,ga,101.0
25000,mimic,113.0
50000,rhc,94.0
50000,sa,113.0
50000,ga,113.0
50000,mimic,113.0
100000,rhc,94.0
100000,sa,113.0
100000,ga,113.0
100000,mimic,113.0
200000,rhc,94.0
200000,sa,113.0
200000,ga,113.0
200000,mimic,113.0
