iteration,model_name,fitness_val
1000,rhc,2698.44317435382
1000,sa,2481.121632752395
1000,ga,3034.259597657904
1000,mimic,3055.489934026546
2000,rhc,2698.44317435382
2000,sa,2400.0806284075
2000,ga,3034.431904631984
2000,mimic,3092.8251391423723
5000,rhc,2698.44317435382
5000,sa,2528.8536368002738
5000,ga,2986.6760413832653
5000,mimic,3032.5353052833307
10000,rhc,2698.44317435382
10000,sa,2630.3771492751493
10000,ga,2982.674285703319
10000,mimic,3079.1366372920575
25000,rhc,2698.44317435382
25000,sa,2294.08789206648
25000,ga,2959.736887069632
25000,mimic,3131.5017437395686
50000,rhc,2698.44317435382
50000,sa,2496.7984068471605
50000,ga,3013.3483082670223
50000,mimic,3097.0515124912363
